wrong	correct
Consulatoin	?
convelence	convalescence
bullenton	bulletin
spil	spill
Steffen	Stephen
potrre	poetry
kapock	kapok
lise	lies
hapened*2	happened
unfor_geterble	unforgettable
questionare	questionnaire
acheivements	achievements
asstained	ascertain
bing	bring
stading	standing
raed	read
prosesion	precision
lost	lot
ident	indent
skey	scare
depreshtion	depression
meausem	museum
extraordernery	extraordinary
apprechate	appreciate
stingent	stringent
concieved	conceived
evreone	everyone
sow	sew
be	bee
appataters	apparatus
pretennd	pretend
subteranian	subterranean
geve	give
forom	from
imigrated	emigrated
benifit*2	benefit
preblem	problem
subjects	subject
entereny	attorney
aspacelery	especially
ficcilitys	facilities
phanflat	pamphlet
sblled	splendid
trymupt	triumph
headace	headache
minerts	mountainous
refrigerter	refrigerator
disgwished	distinguished
cremistery	chemistry
benificcil	beneficial
is	as
coutsage	curiosity
assemly	assembly
hiting	hitting
unparralleled	unparalleled
properally	properly
salt	suits
neddlework	needlework
countance	countenance
reath	wreath
incased	increasing
resistence	resistance
undividually	individually
oder	odour
conventially	conveniently
tendancy*2	tendency
quereous	curious
permernit	permanent
ecommic	economic
sohe	searched
previlage	privilege
stors	stars
habet	habit
desigened	designed
sombody	somebody
pedels	pedals
hetecoper	helicopter
embasserest	embarrassed
bulletion	bulletin
confidant	competent
brain*2	bran
warkt	walked
partey*2	party
nadar	nadir
rigeosternt	region
knowledgable	knowledgeable
pacific	specific
swich	switch
efficiencely	efficiency
requier	require
triunysh	triumph
arangaments	arrangements
plase	place
unerveral	universal
allong	along
instment	instruments
anuan	annum
intelectual*2	intellectual
soliders	soldiers
consistont	consistent
came	from
valintine	valentine
extraordnary	extraordinary
desteanaition	destination
avbel	available
anicty	anxiety
thinble	thimble
ofent	often
concounious	conscience
moen	moan
laste	last
succfull	successful
unfornatly	unfortunately
ackchely	actually
carfull	careful
skite	stick
efectuionally	affectionately
wrank	rank
fargrancy	flagrancy
permartely	permanently
specaman	specimen
bankrucpty	bankruptcy
rehersing	rehearsing
herd*4	heard
distingishes	distinguishes
regoen	region
ventilt	ventilated
commpitate	competent
ascape	escape
fullwards	forward
midia	media
coute	caught
apolgies	apologies
avanged	advantage
convenienty	conveniently
his	was
ghase	gauge
retane	retain
exfecinly	affectionately
head_mistress	headmistress
hapends	happened
attorneies	attorneys
fretunaly	fraternally
accompagnying	accompanying
contmun	countenance
invisable	invisible
relacks	relax
imeadittly	immediately
unfortunte	unfortunate
leasure	leisure
altometer	altimeter
weth_out	without
sianc	sank
weak's	week's
advertiseing	advertising
polleytishion	politician
moleculs	molecules
luved	loved
innorcent	innocent
trosh	touched
farest	forest
a_metlerl	immediately
pranmly	preliminary
dait	date
gams	gauge
sotck	searched
memerys	memories
payground	playground
tork	talked
releaf	belief
premanant	permanent
fryturnely	fraternally
tand	turned
beuteful	beautiful
wido	widow
baragining	bargaining
concensus	conscientious
sackitvansh	satisfaction
weat	wet
bait	date
tecmacke	technical
divident	dividend
mellonuse	melancholy
forturnitly	fortunately
enameyes	enemies
heavey	heavy
beastiality	bestiality
buletin	bulletin
solger	soldier
battels	bottles
communciate	communicate
whes	wishes
shap*2	shop
Juadism	Judaism
mame	made
eserdishon	exhibition
rerved	reserved
georgious	gorgeous
batfl	beautiful
cifarte	skilfully
undoutadly	undoubtedly
indefinet	indefinite
annimise	itemized
emmey	enemy
enthusasamin	enthusiasm
enisals	initials
gappet	galloped
alteturen	altitude
noticably	noticeably
atasher	altitude
its	his
tea_maker	tea-maker
soritety	sorority
rede	ready
theiths	thieves
ondoutally	undoubtedly
prosishon	precision
agressively	aggressively
unomise	unanimous
ocassionally*2	occasionally
agenies	agencies
La_Grippe	grippe
denyin	denying
ald	old
consiquently	consequently
linge	be
recquistion	requisition
curecosity	curiosity
valy	valley
fraternaily	fraternally
hrmehn	army
onen	own
senss	since
studing	studying
fre	free
lokel	local
pleace	please
garenteory	guaranteed
scary	scarcely
poltory	poetry
sitistic	statistics
pamflats	pamphlets
tobogurn	toboggan
conshenious	conscientious
stroy	destroy
proten	pretend
hiter	hit
rainfall	grateful
agriculturalist	agriculturist
voed	viewed
say	says
stummi	stomach
vallery	valley
damed	damaged
inconvenince	inconvenienced
refreshment	refreshment
advantageos	advantageous
cote	coat
econmace	economics
sincer	sincere
sichnetur	signature
guarenty	guarantee
galorry	gallery
hugers	anxious
conceineous	conscientious
mistlery	mystery
sats_fan	satisfaction
bun	but
ocrtur	orchestra
readicules	ridiculous
excargarate	exaggerate
waste	waist
appetiat	appetite
herlo	hello
sopte	spot
ake	ache
disatisfied	dissatisfied
expanily	exceptionally
satelite*2	satellite
cilme	climb
reulting	resulting
defianert	definite
von	vagabond
consived	conceive
auxillary	auxiliary
anniversiory	anniversary
suffantly	sufficiently
guage	gauge
reel	real
joine	join
lao	blue
anivessery	anniversary
primnally	preliminary
div	dive
exessively	excessively
incendentaly	incidentally
listsings	listings
daioned	date
vaciencys	vacancies
pupedist	prejudice
sceuduel	scheduled
orginially	originally
guruantee	guarantee
celabrate	celebrate
finantionally	financially
recresistion	requisition
bennificial	beneficial
hoy	our
picquesque	picturesque
qurantee	guarantee
be	been
gape	grippe
cesed	ceased
corspondence	correspondence
corrisponding	corresponding
acompanying	accompanying
miscelanius	miscellaneous
team_games	team-games
seame	seem
definitaly	definitely
representitive	representative
contients	countenance
ancot	raincoat
techenal	technical
eneyt	any
volger	vulgar
saltraron	subterranean
interlectible	intellectual
exshly	exceptionally
annoiences	annoyance
asade	especially
poney	pony
ans	answer
caresll	carefully
melecolly	melancholy
diamon	diamond
memordies	memories
acknowledge	acknowledging
annome	annum
ospsteete	opposite
suffienc	sufficiently
refressmunt	refreshment
emfrusedmy	enthusiasm
recet	receipt
russina	Russian
were	whereby
scolend	stolen
preteneded	pretend
wont*3	won't
traffice	traffic
councellor	counsellor
stict	strict
orp	opened
serfece	surface
reducition	ridiculous
ediquit	adequate
memoreres	memories
hidretik	hydraulic
depted	debit
quardian	guardian
orceter	orchestra
suceful	successful
groing	growing
concithis	conscientious
tale_run	trial-run
juses	juice
meloncholie	melancholy
ganing	gaining
vale	valley
trad	trade
bell_ringing	bellringing
continance	countenance
hone	horn
being	been
fiezzing	freezing
rwite	write
ironicly	ironically
badies	babies
physcoligy	psychology
kutere	contented
spented	splendid
consheanice	conscientious
satisfation	satisfaction
everythink	everything
graudilly	gradually
chemsitry	chemistry
babe	baby
reacently	recently
phone*3	phoned
comalbe	comfortable
af	earth
infonit	infinite
returnale	fraternally
ambuemce	ambulance
evengualy	eventually
johns	John's
contioance	countenance
maturially	materially
anzity	anxiety
liquify*3	liquefy
tornk_suint	tracksuit
agentic	agencies
sindaing	shaggy
frieted	frightened
ocustommed	accustomed
exagerrated	exaggerated
reffring	referring
satery	certainly
prosedger	procedure
consive	conceive
contemptable	competent
refridgator	refrigerator
pinacul	pinnacle
crier	prior
infenident	infinite
scand	scandal
tormenment	tournament
antisepating	anticipating
be_hin	behind
pinecal	pinnacle
I	and
assighnments	assignments
polution*2	pollution
demges	damaged
riged	rigid
totting	trotting
symophatic	sympathetic
arad	around
provission	provision
reparis	repairs
tanker	tankard
accustumed	accustomed
fundlementle	fundamental
famillior	familiar
searchde	searched
brouther	brother
Philipines	Philippines
howrse	horse
toched	touched
rembemer	remember
ded	dead
niet	night
spelled	splendid
teramant	tournament
excibation	exhibition
cantaloube	cantaloupe
remenbrance	remembrance
curtins	curtains
finattioncely	financially
safe*2	save
origonly	originally
temorary	temporary
systicts	statistics
registery	registry
he	the
intelengle	intellectual
suffiency	sufficiently
reckemandation	recommendation
curtisy	courtesy
reccomendent	recommended
out	not
carm	calm
reckcresition	requisition
animl	animals
restraunt*2	restaurant
archeaologists	archaeologists
spere	spare
conformation	confirmation
larhed	loud
espeshily	especially
quoriocity	curiosity
qucker	quicker
colloquilism	colloquialism
annonyance	annoyance
choeden	children
a_vod	avoid
desin	designed
anoyance	annoyance
reses	recently
faccinating	fascinating
knew	new
prefixt	prefixed
ete	eat
atterinies	attorneys
buisit	biscuits
virtuies	virtues
defennently	definitely
jugement	judgement
unexpickted	unexpected
faner	form
catal	castle
fasicinateing	fascinating
wos*5	was
averna	avoid
news_paper	newspaper
gallod	galloped
gond	again
temmper	temperature
paintaking	painstaking
desinded	designed
ligths	lights
abmeteb	admitted
enthuisiasm	enthusiasm
rumantisan	rheumatism
exitey	anxiety
ecomonic	economic
ocashanally	occasionally
probalem	problem
triumphet	triumph
unexspected	unexpected
sackryligus	sacrilegious
infinnent	infinite
releived	relieved
minninum	minimum
jewelery	jewelry
headmaster	headmaster's
kutiset	courteous
spcruf	spacecraft
four	fourth
miniscule*2	minuscule
trolly	trolley
semh	schemes
shuve	shove
vacancy's	vacancies
strenght*2	strength
anxous	anxious
brookes	brooks
picturesct	picturesque
afidaved	affidavit
propect	prospect
minetes	minutes
rauf	rough
desigen	destination
intoslate	intellectual
ecqunomic	economic
obersit	opposite
galyer	gallery
losed	lost
sirfishint	sufficient
polir	problem
caps*2	cops
vertually	virtually
hat	heard
minuminum	minimum
loned	loud
magnifecient	magnificent
accustommed	accustomed
plarnted	planted
entrese	entrance
Slaughthouse	Slaughterhouse
gardeian	guardian
technecil	technical
penumonia	pneumonia
oppretunities	opportunities
egzagerate	exaggerate
fascicaneting	fascinating
contente	contented
certinly	certainly
adoqate	adequate
exnomic	economic
viculay	facilities
bowt	belt
ordoniary	ordinarily
apostle	epistle
ememey	enemy
unconscience	unconscious
lifd	lived
breve	breathe
terdal	terrible
sleplus	surplus
strnad	strand
defanetely	definitely
shor	shore
anathm	annum
commuacate	communicate
shasan	satisfaction
dentilated	ventilated
rien	fire
volum	volume
Philosophy	philosophy
avalibale	available
recodnition	recognition
predjudic	prejudice
refereence	reference
spects	expects
coradioral	collateral
perpectual	perpetual
inthuseaasmn	enthusiasm
critying	circling
anum	annum
haen	that
uam	jam
antispate	anticipate
ivoid	avoid
some_on	someone
eccomic	economic
especialy	especially
brij	bridge
expsoch	exhibition
compartivly	comparatively
takin	taken
atacing	attaching
sicifaris	satisfaction
stastione	station
meen	mean
swterble	suitable
presdent's	president's
priviledges	privileges
douc	doubt
two*4	too
emploiees	employees
schuled	scheduled
accagionaly	occasionally
requsted	requested
tennisplayer	tennis_player
triveal	trivial
gareley	gallery
add	had
undoutetly	undoubtedly
apohlyage	apology
wit	went
stap	step
mant	want
det	date
poettry	poetry
feaver	fever
worred*2	worried
warck	work
misealinous	miscellaneous
enthusastik	enthusiastic
criticizasm	criticism
questionnare	questionnaire
divide	divine
grwo	grow
fenid	friend
kiffe	knife
tink*2	think
conserned	concerned
pecuilar	peculiar
propnent	continent
pogl	beg
sypthmetic	sympathetic
barler	beautiful
schol	schools
beter*2	better
curtesies	courtesies
necarssarly	necessarily
affectually	affectionately
cycoligy	psychology
exadgerat	exaggerate
rwit	removed
we	me
elegtrer	helicopter
coaperate	cooperate
mathmatician	mathematician
ecxadurate	exaggerate
acceptence	acceptance
dear	dare
palving	playing
conceal	counsel
apubed	absurd
decompositing	decomposing
tkaing	taking
exsistion	existence
faulse	false
meautalle	mutual
an*2	a
eperats	apparatus
nfre	after
skilly	skilfully
ilogical	illogical
furly	familiar
hunemoon	honeymoon
rectquisition	requisition
statictics	statistics
curni	colonel
sandal	scandal
heght	hedge
myestery	mystery
desidily	decidedly
exatuate	exaggerate
come*2	came
surcing	circling
head_misstress	headmistress
unsf	unsafe
epistile	epistle
bad*2	dad
eneatation	initiation
preticular	particular
curly_headed	curly-headed
diening	dining
dilapadated	dilapidated
acttive	active
famficay	financially
unamuse	unanimous
scissor	scissors
finacially	financially
dems	diamond
storise	stories
serntlny	certainly
acostumed	accustomed
vurlus	virtues
botom	bottom
saught	saucer
represinetives	representatives
euetr	equally
unaminus	unanimous
Kindergarten	kindergarten
senority	sorority
runaway	runway
setitfared	satisfaction
negatations	negotiations
adjorned	adjourned
vacancity	vacancy
divied	debit
curtente	contented
dormintory	dormitory
sister*2	sisters
contete	contented
their*16	there
potaos	potatoes
inconvenents	inconvenience
ahppen	happen
prestigeous	prestigious
exzity	anxiety
imthosemam	enthusiasm
rerreshment	refreshment
spead	speed
episil	epistle
missolainies	miscellaneous
consident	consonant
theri	their
bankrupsay	bankruptcy
approxamate	approximate
polie	peculiar
gurantee	guarantee
perqul	peculiar
linp	limp
matieral	material
contrevy	controversy
beneeth	beneath
opon*2	opened
imetialty	immediately
polictian	politician
pifishan	physician
benef	beneath
bulitons-	bulletin
tryadry	tragedy
stirrin	stirring
prejduice	prejudice
wocer	walked
lens	led
shock	shook
sizable	sizeable
pinickal	pinnacle
eliminatary	elementary
varyed	buried
sick	sink
merrors	memories
scudule	scheduled
safishently	sufficiently
biscui	biscuits
haws	house
exterordinary	extraordinary
biscan	bicycle
nossing	noisy
govormental	governmental
splendourd	splendid
voet	vote
miscelanuos	miscellaneous
deffinatelly	definitely
stasticties	statistics
lescher	leisure
outsid	outside
politicains	politician
perceved	perceive
docquments	documents
dinnings	dining
promblem	problem
vairi	various
themself	themselves
immedially	immediately
oridgenally	originally
lescive	leisure
czar	cancelled
suppart	support
namly	namely
accordense	accordance
tunage	tonnage
permaiently	permanently
buitful	beautiful
wern't	weren't
hydrolec	hydraulic
excution	execution
dede	bed
prisedents	president's
toed	toad
resause	resource
generrater	generator
affectionatly	affectionately
meirshin	machine
pistol	epistle
ruasturant	restaurant
courson	cousin
gradgle	gradually
soord	sword
vaires	various
wern	when
asthemed	esteemed
incedious	insidious
samer	seem
agsis	exists
aswering	answering
permmully	permanently
drek	dart
intergrated	integrated
ciets	city
Chatwakwa	Chautauqua
eventuely	eventually
ordarnarily	ordinarily
injons	enjoy
deliciant	delinquent
piolet	pilot
sied	side
vulger	vulgar
seceed	secede
garlle	gallery
decendant	descendant
wellvented	ventilated
mimium	minimum
scruf	scruff
prosedgor	procedure
ecommonics	economics
schedules	scheduled
trouble_maker	trouble-maker
acknowlegement	acknowledgement
coutioues	courtesies
falaly	folly
veresly	various
abuov	above
propely	properly
wolling	walking
attacheing	attaching
moths	noisy
costome	costume
woulded	wanted
prilimanary	preliminary
comparitolvily	comparatively
alonalp	helicopter
amnible	amiable
memberanon	memorandum
in_sis	inside
misalenus	miscellaneous
inexsusable	inaccessible
statsiefacsed	satisfaction
anthuisum	enthusiasm
imeditery	immediately
veseted	visited
incovenienced	inconvenienced
con	corn
rote	wrote
biscut	biscuit
preterded	pretend
abilty	ability
craker	cracker
abarater	operator
finanialy	financially
finaly	final
daing	doing
inconveneated	inconvenient
firh	fire
approxmatly	approximately
retalitated	retaliated
revew	review
chanch	chance
whimp	wimp
pelm	plan
specfically	specifically
intitiation	initiation
slipery	slippery
feme	form
espasially	especially
tine	tiny
tististicts	statistics
specifacully	specifically
negiatations	negotiations
predijist	prejudice
politicion	politician
redicalus	ridiculous
decidently	decidedly
referal	referral
misscelanious	miscellaneous
presidence's	president's
idesa	ides
pamphletts	pamphlets
canacellation	cancellation
cansellation	cancellation
defenet	definite
aranged	arranged
preferrable	preferable
stumace	stomach
wnated	wanted
mor	more
evay	every
set	sight
butlek	beautiful
folow	follow
ancrer	answer
schandel	scandal
particularly	particular
kentigarten	kindergarten
unpareled	unparalleled
spair_garr	spacecraft
descision*2	decision
courrious	curious
privielage	privilege
veis	various
skillverly	skilfully
preform	perform
rumaticism	rheumatism
agreable	agreeable
Rhumatism	rheumatism
lieable	liable
pursecorc	position
temporarlly	temporarily
aproved	approval
reckamendation	recommendation
jsut	just
wathout	without
umpart	alpine
dea	dodged
aturney	attorney
philoficy	philosophy
mary	marry
tiome	time
bankrupuy	bankruptcy
addres	adders
hid	height
peap	peep
mangnicet	magnificent
percula	peculiar
spring	springs
acquance	acquaintance
faiyhfully	faithfully
undestand	understand
compeled	compelled
climatoligists	climatologists
couldent	couldn't
wont	wont
diane	dining
ef	ever
ackward*2	awkward
cosumerly	customary
chariman	chairman
rummer	rumour
suman	solemn
dilverd	delivered
rearlers	surplus
wash	watch
coeece	coerce
practiaal	practical
acroved	accrued
incovenentist	inconvenienced
drow	draw
mimimium	minimum
stab	start
statithics	statistics
crat	great
apendix	appendix
adicquate	adequate
charachters	characters
peaple	people
magnefesed	magnificent
dispair*3	despair
coontry	country
dinner_times	dinnertimes
deliver	delivered
scambld	scrambled
debarcher	departure
connveniently	conveniently
specil	special
persue*3	pursue
Feburary	February
arrangments	arrangements
chrimbl	scrambled
suphisticated	sophisticated
wood_work	woodwork
slip	sleep
spad	spade
daner	done
best	belief
mysterie	mystery
conceved	conceive
difrans	difference
couth	caught
amberlance	ambulance
pefect	splendid
sod	sound
famer	farmer
bear*2	bare
reccommendations	recommendations
hit	height
pavment	pavement
ordinarilily	ordinarily
reckomend	recommended
side_car	sidecar
arth	loud
psiolochology	psychology
canselling	cancelling
ambivilant	ambivalent
minnium	minimum
rurel	rural
three	tree
brad	braid
cat	cut
affets	affects
hor	who
sec	cease
innition	initiation
temperrarially	temporarily
spic	special
concientious	conscientious
privalogy	privilege
efficiently	efficiency
suffiecentlly	sufficiently
concuous	conscientious
anxiciety	anxiety
matariel	material
crimamel	criminal
latets	latest
inslye	industry
we'el	we'll
achi	achieve
diah	dinner
phenumia	pneumonia
play_grond	playground
hypocracy	hypocrisy
bieng	being
dordments	documents
effecintcy	efficiency
conteous	conscious
concile	counsel
curtings	curtains
determain	determined
inkurnet	inconvenient
Ecomomical	economical
acorrdance	accordance
corsey	courses
plirimanary	preliminary
semphistic	sympathetic
last	one
Ile	I'll
deg	beg
specle	special
annen	any
shoan	sank
caere	community
anayles	analysis
commitive	committed
stare*2	stars
baner	banner
sade	sound
virteau	virtue
stumac	stomach
wtih	with
accknowledgement	acknowledgement
annivesrey	anniversary
incredibally	incredibly
autoruim	auditorium
hanee	any
goes	juice
Rango	Ranger
Europian	European
equitly	equally
boots	beautiful
presense*2	presence
wie	thin
critisise	criticize
flud	flood
fnaniancly	financially
hared	hard
peciular	peculiar
delt	dealt
tradedys	tragedy
mescelaneous	miscellaneous
pleasent	pleasant
nact	neck
refrigiter	refrigerator
beind	behind
dipartiar	departure
sherk	searched
ocuntries	countries
finanically	financially
venemous	venomous
condions	conditions
annamum	annum
aeriels	aerials
attoram	auditorium
pattarns	patterns
wod	wood
fanes	freezing
sear	scare
properganda	propaganda
docters	doctors
innessheation	initiation
contience	conscious
exisists	exists
felothocy	philosophy
unimployed	unemployed
principals	principles
vacinsas	vacancies
funmental	fundamental
going	coming
bene	been
narno	narrow
unusly	unusually
stumarc	stomach
discritation	discretion
doge	dodge
gragully	gradually
cougt	caught
deid	died
mite*2	might
enthing	anything
inysules	initials
buellitin	bulletin
loeg	lodge
antisipate	anticipate
bankruppect	bankruptcy
traffik	traffic
carit	curtains
wiss	wishes
adabtable	adaptable
nuber	number
bad	bed
restarount	restaurant
his	he
fianlly	finally
popoll	purple
wain	were
groon	grown
sugest	suggest
intectical	intellectual
incidendently	incidentally
ame	any
herd	here
staratr	sure
intemised	itemized
useing*2	using
remeniscences	reminiscences
havein't	haven't
prejudis	prejudice
incdently	incidentally
symetery	symmetry
usually	unusually
scicology	psychology
spleded	splendid
learn	learned
lede	led
weeks'	week's
misdameanors	misdemeanours
demy	deny
cucomber	cucumber
hooge	huge
familly	familiar
chemcial	chemical
galopet	galloped
encryptiion	encryption
guaraunteed	guaranteed
teahers	teachers
cheeroh	cheerio
spesl	special
adisction	edition
reoporter	reporter
anytying	anything
seige*2	siege
silf	self
subisitions	substitutions
lord	lorry
shggy	shaggy
renewed	viewed
bcak	back
thifeves	thieves
exspeniture	expenditure
ettmiter	altimeter
eastablishing	establishing
achievment	achievement
gam	jam
effeiciency	efficiency
there*18	their
parsel	parcel
taboggan	toboggan
toutched	touched
custamor's	customer's
locol	local
interrests	interests
trail_ran	trial-run
host	horse
anoma	annum
vose	voice
befulaful	beautiful
fermilliar	familiar
immedictly	immediately
withold	withhold
opproxamatly	approximately
icomized	itemized
undoubtavely	undoubtedly
missoleanus	miscellaneous
catagoris	categories
satfacso	satisfaction
fligt	flight
reant	rent
glass	class
curtain	curtains
down_stair	downstairs
on	off
seas	seals
eyery	every
acprocimatly	approximately
affectionly	affectionately
santel	certainly
alterchood	altitude
littl	little
helepier	helicopter
redicular	ridiculous
crepy	creepy
tims	times
house	horse
warn	worn
negociasions	negotiations
grut	great
dransfered	transferred
tail_run	trial-run
strived	strove
radify	ratify
spiritiaul	spiritual
o	oh
captian*2	captain
refregrator	refrigerator
anoiance	annoyance
misalentios	miscellaneous
werh	were
exevbichon	exhibition
aniversay	anniversary
col	call
carrentie	guarantee
dat	that
inacessable	inaccessible
acorll	actually
vouthur	voucher
presisian	precision
bennyfishaly	beneficial
commicate	communicate
rememberence	remembrance
ocassional	occasional
tem	team
comision	commission
recomnded	recommended
unformanlly	unfortunately
viricheu	virtue
creatitivity	creativity
toughed	touched
Chartors	Characters
cemtery	cemetery
leiusure	leisure
todays'	to-day's
analiss	analysis
promenent	prominent
lasy	lazy
wate*2	wait
suround*2	surround
reconitation	recognition
inconveience	inconvenienced
frosen	frozen
condiptions	conditions
restruarant	restaurant
coaght	caught
alumuna	alumni
end_less	endless
housholds	households
perfactly	perfectly
thourgh	thorough
phision	physician
anciticty	anxiety
pitet	pilot
notisbolle	noticeable
benifits*2	benefits
pregidise	prejudice
countenences	countenance
werth	worth
awfuly	awfully
verious	various
pome	poems
conchus	conscious
avible	available
cesh	sure
grater	greater
cavass	canvass
oridtionaly	originally
looge	lodge
sufficent*2	sufficient
Thems	Thames
magnificiante	magnificent
competed	competent
speshall	special
kino	know
baceball	baseball
permanenly	permanently
exzistance	existence
cookes	cookies
sa	should
bubbals	bubbles
verchues	virtues
if	he
sond	sound
shorch	sure
refriderator	refrigerator
surpose*2	suppose
belte	belt
redundent	redundant
cimertary	symmetry
fw	few
crucifiction*2	crucifixion
syas	says
daged	dodged
enyu	any
alsorts	all_sorts
angecy	agencies
magnefist	magnificent
loveable	lovable
eiroplane	aeroplane
privi	privilege
delquient	delinquent
benath	beneath
plerimalry	preliminary
allthough	although
satefasion	satisfaction
recieves	receipts
dieing*4	dying
extisy	ecstasy
evry_dody	everybody
exceptable	acceptable
some_thing*2	something
lone	lost
chaphter	chapter
bet	beat
fastenating	fascinating
oredr	order
bred	bread
andunaus	annum
re_gaind	regained
presidends	president's
sones	sons
ofr	of
knwo	know
contraversally	controversy
cocking	cooking
stoamac	stomach
gran	grain
varsus	various
graudully	gradually
schoo	school
discuse	discuss
contempory	contemporary
entheusiasism	enthusiasm
sak	sack
serplase	surplus
predjuice	prejudice
thhis	this
arneals	initials
foxx	fox
dispolvel	disposal
immedeitly	immediately
effert	effort
me	my
illiteraly	literally
negoatation	negotiations
put	but
eaghty	eighty
cilender	cylinder
saefe	surface
innitial	initials
flet	flight
prefere	prefer
surroded	surrounded
yersa	years
deing	beginning
imiedatly	immediately
biwes	best
partener	partner
figurs	figures
tom_boy	tomboy
sone*2	soon
acerle	actually
omiting	omitting
exaderate	exaggerate
sparcely	sparsely
inconveeneance	inconvenience
brock	break
ridiculuss	ridiculous
farly	fairly
economcil	economical
instrumants	instruments
long	wrong
selfs	selves
emergancy	emergency
erand	errand
illuminate	eliminate
economicial	economical
fraske_stinte	tracksuit
decededly	decidedly
her*2	heard
rabbit	rabbits
immippisal	epistle
colelatral	collateral
raped	rapid
melanchaly	melancholy
nonsence	nonsense
loundry	laundry
exectants	experience
whan't	wasn't
leed	led
drem*2	dream
telaphoned	telephoned
pritened	frightened
orcheaster	orchestra
funny	curiosity
corriculem	curriculum
rock	woke
bax	box
bicyclle	bicycle
adequite	adequate
sigantate	signature
annilable	amiable
faise	phase
dissypoint	disappoint
immeadiately	immediately
forwards	forward
bullutin	bulletin
stiticts	statistics
botton*2	bottom
tkaes	takes
psycological	psychological
prinicpales	principles
inteference	interference
Epissol	epistle
specsie	special
depercher	departure
enthuiasm	enthusiasm
Chtacu	Chautauqua
aburd	absurd
vane	vain
faiths	phase
gaurdain	guardian
monkay	monkey
enfants	infants
erge	urge
made	maid
shorariety	sorority
mystury	mystery
disenstion	destination
coladaro	collateral
instumants	instruments
rob	rub
coused	courses
ap	approaching
enormas	enormous
sonday	sunday
convential*2	conventional
flamboueant	flamboyant
flor*2	floor
aproverl	approval
spelloll	special
teld	told
altimiter	altimeter
fourty*2	forty
fowm	form
turne	turn
ordaniarly	ordinarily
predgejust	prejudice
dongle	dangle
predominently	predominantly
fixt	fixed
organisatios	organizations
medicin	medicine
questionier	questionnaire
cunnidge	tonnage
coninuous	continuous
million_air	millionaire
what_ever*2	whatever
inticipate	anticipate
maturally	materially
dilived	delivered
freturnially	fraternally
compeating	competing
turimant	tournament
erspendituer	expenditure
suplimente	supplement
courties	courtesies
largh	laugh
signture	signature
blok	block
